Mês/Ano;UF;Município;Zona;Quantidade;%
Agosto - 2013;SP;NAZARÉ PAULISTA;16;13.425;0,043
Agosto - 2013;SP;NEVES PAULISTA;72;7.494;0,024
Agosto - 2013;SP;NHANDEARA;162;8.009;0,026
Agosto - 2013;SP;NIPOÃ;77;3.710;0,012
Agosto - 2013;SP;NOVA ALIANÇA;126;5.151;0,016
Agosto - 2013;SP;NOVA CAMPINA;53;6.811;0,022
Agosto - 2013;SP;NOVA CANAÃ PAULISTA;187;2.042;0,007
Agosto - 2013;SP;NOVA CASTILHO;168;1.295;0,004
Agosto - 2013;SP;NOVA EUROPA;239;7.883;0,025
Agosto - 2013;SP;NOVA GRANADA;78;15.101;0,048
Agosto - 2013;SP;NOVA GUATAPORANGA;175;1.885;0,006
Agosto - 2013;SP;NOVA INDEPENDÊNCIA;9;2.886;0,009
Agosto - 2013;SP;NOVA LUZITÂNIA;162;2.784;0,009
Agosto - 2013;SP;NOVA ODESSA;292;40.978;0,131
Agosto - 2013;SP;NOVAIS;179;3.416;0,011
Agosto - 2013;SP;NOVO HORIZONTE;79;28.062;0,089
Agosto - 2013;SP;NUPORANGA;235;5.346;0,017
Agosto - 2013;SP;OCAUÇU;180;3.446;0,011
Agosto - 2013;SP;ÓLEO;94;2.739;0,009
Agosto - 2013;SP;OLÍMPIA;80;38.940;0,124
Agosto - 2013;SP;ONDA VERDE;78;3.465;0,011
Agosto - 2013;SP;ORIENTE;180;5.057;0,016
Agosto - 2013;SP;ORINDIÚVA;164;4.646;0,015
Agosto - 2013;SP;ORLÂNDIA;81;30.412;0,097
Agosto - 2013;SP;OSASCO;213;26.844;0,086
Agosto - 2013;SP;OSASCO;276;90.345;0,288
Agosto - 2013;SP;OSASCO;277;82.532;0,263
Agosto - 2013;SP;OSASCO;285;49.515;0,158
Agosto - 2013;SP;OSASCO;315;114.728;0,366
Agosto - 2013;SP;OSASCO;331;114.320;0,364
Agosto - 2013;SP;OSASCO;332;67.939;0,217
Agosto - 2013;SP;OSCAR BRESSANE;12;2.654;0,008
Agosto - 2013;SP;OSVALDO CRUZ;163;24.230;0,077
Agosto - 2013;SP;OURINHOS;82;75.818;0,242
Agosto - 2013;SP;OURO VERDE;149;5.776;0,018
Agosto - 2013;SP;OUROESTE;302;7.282;0,023
Agosto - 2013;SP;PACAEMBU;154;8.935;0,028
Agosto - 2013;SP;PALESTINA;231;8.120;0,026
Agosto - 2013;SP;PALMARES PAULISTA;111;7.038;0,022
Agosto - 2013;SP;PALMEIRA D'OESTE;232;7.806;0,025
Agosto - 2013;SP;PALMITAL;83;16.988;0,054
Agosto - 2013;SP;PANORAMA;175;10.599;0,034
Agosto - 2013;SP;PARAGUAÇU PAULISTA;12;31.592;0,101
Agosto - 2013;SP;PARAIBUNA;84;13.915;0,044
Agosto - 2013;SP;PARAÍSO;171;4.982;0,016
Agosto - 2013;SP;PARANAPANEMA;301;13.548;0,043
Agosto - 2013;SP;PARANAPUÃ;152;2.941;0,009
Agosto - 2013;SP;PARAPUÃ;163;8.623;0,027
Agosto - 2013;SP;PARDINHO;26;4.927;0,016
Agosto - 2013;SP;PARIQUERA-AÇU;228;14.988;0,048
Agosto - 2013;SP;PARISI;147;2.157;0,007
Agosto - 2013;SP;PATROCÍNIO PAULISTA;85;10.199;0,033
Agosto - 2013;SP;PAULICÉIA;175;5.315;0,017
Agosto - 2013;SP;PAULÍNIA;323;61.979;0,198
Agosto - 2013;SP;PAULISTÂNIA;7;1.616;0,005
Agosto - 2013;SP;PAULO DE FARIA;164;6.705;0,021
Agosto - 2013;SP;PEDERNEIRAS;86;31.341;0,100
Agosto - 2013;SP;PEDRA BELA;298;4.869;0,016
Agosto - 2013;SP;PEDRANÓPOLIS;302;2.187;0,007
Agosto - 2013;SP;PEDREGULHO;155;13.667;0,044
Agosto - 2013;SP;PEDREIRA;333;32.023;0,102
Agosto - 2013;SP;PEDRINHAS PAULISTA;363;2.799;0,009
Agosto - 2013;SP;PEDRO DE TOLEDO;295;8.053;0,026
Agosto - 2013;SP;PENÁPOLIS;87;45.001;0,143
Agosto - 2013;SP;PEREIRA BARRETO;88;20.149;0,064
Agosto - 2013;SP;PEREIRAS;41;6.720;0,021
Agosto - 2013;SP;PERUÍBE;295;51.919;0,165
Agosto - 2013;SP;PIACATU;210;4.423;0,014
Agosto - 2013;SP;PIEDADE;89;39.456;0,126
Agosto - 2013;SP;PILAR DO SUL;89;20.674;0,066
Agosto - 2013;SP;PINDAMONHANGABA;90;106.220;0,339
Agosto - 2013;SP;PINDORAMA;179;11.299;0,036
Agosto - 2013;SP;PINHALZINHO;298;10.329;0,033
Agosto - 2013;SP;PIQUEROBI;117;3.072;0,010
Agosto - 2013;SP;PIQUETE;337;10.864;0,035
Agosto - 2013;SP;PIRACAIA;92;20.859;0,066
Agosto - 2013;SP;PIRACICABA;93;136.877;0,436
Agosto - 2013;SP;PIRACICABA;270;136.122;0,434
Agosto - 2013;SP;PIRAJU;94;22.749;0,073
Agosto - 2013;SP;PIRAJUÍ;95;15.622;0,050
Agosto - 2013;SP;PIRANGI;76;8.076;0,026
Agosto - 2013;SP;PIRAPORA DO BOM JESUS;386;10.752;0,034
Agosto - 2013;SP;PIRAPOZINHO;261;19.886;0,063
Agosto - 2013;SP;PIRASSUNUNGA;96;25.640;0,082
Agosto - 2013;SP;PIRASSUNUNGA;311;28.544;0,091
Agosto - 2013;SP;PIRATININGA;97;8.629;0,028
Agosto - 2013;SP;PITANGUEIRAS;98;25.937;0,083
Agosto - 2013;SP;PLANALTO;214;3.955;0,013
Agosto - 2013;SP;PLATINA;83;2.735;0,009
Agosto - 2013;SP;POÁ;219;89.576;0,285
Agosto - 2013;SP;POLONI;77;4.529;0,014
Agosto - 2013;SP;POMPÉIA;99;15.401;0,049
Agosto - 2013;SP;PONGAÍ;95;3.185;0,010
Agosto - 2013;SP;PONTAL;135;27.738;0,088
Agosto - 2013;SP;PONTALINDA;152;3.372;0,011
Agosto - 2013;SP;PONTES GESTAL;224;2.404;0,008
Agosto - 2013;SP;POPULINA;233;3.637;0,012
Agosto - 2013;SP;PORANGABA;140;6.640;0,021
Agosto - 2013;SP;PORTO FELIZ;100;37.824;0,121
Agosto - 2013;SP;PORTO FERREIRA;194;39.682;0,126
Agosto - 2013;SP;POTIM;190;11.450;0,036
Agosto - 2013;SP;POTIRENDABA;126;12.542;0,040
Agosto - 2013;SP;PRACINHA;69;1.501;0,005
Agosto - 2013;SP;PRADÓPOLIS;197;13.527;0,043
Agosto - 2013;SP;PRAIA GRANDE;317;92.475;0,295
Agosto - 2013;SP;PRAIA GRANDE;406;91.677;0,292
Agosto - 2013;SP;PRATÂNIA;129;4.251;0,014
Agosto - 2013;SP;PRESIDENTE ALVES;95;3.424;0,011
Agosto - 2013;SP;PRESIDENTE BERNARDES;165;11.128;0,035
Agosto - 2013;SP;PRESIDENTE EPITÁCIO;195;31.248;0,100
Agosto - 2013;SP;PRESIDENTE PRUDENTE;101;77.148;0,246
Agosto - 2013;SP;PRESIDENTE PRUDENTE;402;84.953;0,271
Agosto - 2013;SP;PRESIDENTE VENCESLAU;102;29.214;0,093
Agosto - 2013;SP;PROMISSÃO;103;27.420;0,087
Agosto - 2013;SP;QUADRA;140;2.899;0,009
Agosto - 2013;SP;QUATÁ;104;10.342;0,033
Agosto - 2013;SP;QUEIROZ;99;3.216;0,010
Agosto - 2013;SP;QUELUZ;105;7.784;0,025
Agosto - 2013;SP;QUINTANA;99;4.950;0,016
Agosto - 2013;SP;RAFARD;38;7.430;0,024
Agosto - 2013;SP;RANCHARIA;106;23.810;0,076
Agosto - 2013;SP;REDENÇÃO DA SERRA;314;3.869;0,012
Agosto - 2013;SP;REGENTE FEIJÓ;167;15.042;0,048
Agosto - 2013;SP;REGINÓPOLIS;95;4.499;0,014
Agosto - 2013;SP;REGISTRO;172;43.681;0,139
Agosto - 2013;SP;RESTINGA;240;6.139;0,020
Agosto - 2013;SP;RIBEIRA;10;2.903;0,009
Agosto - 2013;SP;RIBEIRÃO BONITO;107;8.738;0,028
Agosto - 2013;SP;RIBEIRÃO BRANCO;53;14.318;0,046
Agosto - 2013;SP;RIBEIRÃO CORRENTE;240;3.911;0,012
Agosto - 2013;SP;RIBEIRÃO DO SUL;313;3.746;0,012
Agosto - 2013;SP;RIBEIRÃO DOS ÍNDIOS;117;2.081;0,007
Agosto - 2013;SP;RIBEIRÃO GRANDE;37;6.623;0,021
Agosto - 2013;SP;RIBEIRÃO PIRES;183;63.508;0,202
Agosto - 2013;SP;RIBEIRÃO PIRES;382;24.196;0,077
Agosto - 2013;SP;RIBEIRÃO PRETO;108;40.722;0,130
Agosto - 2013;SP;RIBEIRÃO PRETO;265;37.152;0,118
Agosto - 2013;SP;RIBEIRÃO PRETO;266;95.228;0,303
Agosto - 2013;SP;RIBEIRÃO PRETO;293;68.423;0,218
Agosto - 2013;SP;RIBEIRÃO PRETO;305;82.389;0,263
Agosto - 2013;SP;RIBEIRÃO PRETO;322;95.353;0,304
Agosto - 2013;SP;RIFAINA;155;4.227;0,013
Agosto - 2013;SP;RINCÃO;239;7.887;0,025
Agosto - 2013;SP;RINÓPOLIS;184;7.634;0,024
Agosto - 2013;SP;RIO CLARO;110;74.138;0,236
Agosto - 2013;SP;RIO CLARO;288;64.606;0,206
Agosto - 2013;SP;RIO DAS PEDRAS;244;24.091;0,077
Agosto - 2013;SP;RIO GRANDE DA SERRA;382;33.296;0,106
Agosto - 2013;SP;RIOLÂNDIA;164;7.296;0,023
Agosto - 2013;SP;RIVERSUL;56;4.756;0,015
Agosto - 2013;SP;ROSANA;330;16.603;0,053
Agosto - 2013;SP;ROSEIRA;190;7.647;0,024
Agosto - 2013;SP;RUBIÁCEA;151;2.469;0,008
Agosto - 2013;SP;RUBINÉIA;187;2.672;0,009
Agosto - 2013;SP;SABINO;297;4.845;0,015
Agosto - 2013;SP;SAGRES;163;2.043;0,007
Agosto - 2013;SP;SALES;207;4.530;0,014
Agosto - 2013;SP;SALES OLIVEIRA;235;7.425;0,024
Agosto - 2013;SP;SALESÓPOLIS;112;14.616;0,047
Agosto - 2013;SP;SALMOURÃO;163;3.951;0,013
Agosto - 2013;SP;SALTINHO;270;6.015;0,019
Agosto - 2013;SP;SALTO;221;81.824;0,261
Agosto - 2013;SP;SALTO DE PIRAPORA;294;28.128;0,090
Agosto - 2013;SP;SALTO GRANDE;313;6.845;0,022
Agosto - 2013;SP;SANDOVALINA;261;3.463;0,011
Agosto - 2013;SP;SANTA ADÉLIA;111;11.602;0,037
Agosto - 2013;SP;SANTA ALBERTINA;152;4.741;0,015
Agosto - 2013;SP;SANTA BÁRBARA D'OESTE;186;134.965;0,430
Agosto - 2013;SP;SANTA BRANCA;112;11.916;0,038
Agosto - 2013;SP;SANTA CLARA D'OESTE;187;2.106;0,007
Agosto - 2013;SP;SANTA CRUZ DA CONCEIÇÃO;188;3.464;0,011
Agosto - 2013;SP;SANTA CRUZ DA ESPERANÇA;32;1.908;0,006
Agosto - 2013;SP;SANTA CRUZ DAS PALMEIRAS;113;22.337;0,071
Agosto - 2013;SP;SANTA CRUZ DO RIO PARDO;114;33.327;0,106
Agosto - 2013;SP;SANTA ERNESTINA;139;5.030;0,016
Agosto - 2013;SP;SANTA FÉ DO SUL;187;23.756;0,076
Agosto - 2013;SP;SANTA GERTRUDES;245;16.968;0,054
Agosto - 2013;SP;SANTA ISABEL;115;38.625;0,123
Agosto - 2013;SP;SANTA LÚCIA;239;7.932;0,025
Agosto - 2013;SP;SANTA MARIA DA SERRA;130;4.130;0,013
Agosto - 2013;SP;SANTA MERCEDES;175;2.593;0,008
Agosto - 2013;SP;SANTA RITA DO PASSA QUATRO;116;21.500;0,069
Agosto - 2013;SP;SANTA RITA D'OESTE;187;2.360;0,008
Agosto - 2013;SP;SANTA ROSA DE VITERBO;173;19.042;0,061
Agosto - 2013;SP;SANTA SALETE;152;1.503;0,005
Agosto - 2013;SP;SANTANA DA PONTE PENSA;187;1.540;0,005
Agosto - 2013;SP;SANTANA DE PARNAÍBA;386;73.101;0,233
Agosto - 2013;SP;SANTO ANASTÁCIO;117;16.983;0,054
Agosto - 2013;SP;SANTO ANDRÉ;156;22.278;0,071
Agosto - 2013;SP;SANTO ANDRÉ;262;82.866;0,264
Agosto - 2013;SP;SANTO ANDRÉ;263;61.680;0,197
Agosto - 2013;SP;SANTO ANDRÉ;264;39.044;0,124
Agosto - 2013;SP;SANTO ANDRÉ;306;32.086;0,102
Agosto - 2013;SP;SANTO ANDRÉ;307;83.321;0,266
Agosto - 2013;SP;SANTO ANDRÉ;308;43.112;0,137
Agosto - 2013;SP;SANTO ANDRÉ;309;41.927;0,134
Agosto - 2013;SP;SANTO ANDRÉ;321;52.057;0,166
Agosto - 2013;SP;SANTO ANDRÉ;383;94.457;0,301
Agosto - 2013;SP;SANTO ANTÔNIO DA ALEGRIA;202;5.931;0,019
Agosto - 2013;SP;SANTO ANTÔNIO DE POSSE;333;15.817;0,050
Agosto - 2013;SP;SANTO ANTÔNIO DO ARACANGUÁ;299;5.988;0,019
Agosto - 2013;SP;SANTO ANTÔNIO DO JARDIM;91;5.406;0,017
Agosto - 2013;SP;SANTO ANTÔNIO DO PINHAL;120;5.980;0,019
Agosto - 2013;SP;SANTO EXPEDITO;182;2.631;0,008
Agosto - 2013;SP;SANTÓPOLIS DO AGUAPEÍ;25;3.318;0,011
Agosto - 2013;SP;SANTOS;118;108.741;0,347
Agosto - 2013;SP;SANTOS;272;107.281;0,342
Agosto - 2013;SP;SANTOS;273;113.395;0,361
Agosto - 2013;SP;SÃO BENTO DO SAPUCAÍ;120;8.782;0,028
Agosto - 2013;SP;SÃO BERNARDO DO CAMPO;174;127.069;0,405
Agosto - 2013;SP;SÃO BERNARDO DO CAMPO;283;73.148;0,233
Agosto - 2013;SP;SÃO BERNARDO DO CAMPO;284;82.625;0,263
Agosto - 2013;SP;SÃO BERNARDO DO CAMPO;296;99.276;0,316
Agosto - 2013;SP;SÃO BERNARDO DO CAMPO;409;119.439;0,381
Agosto - 2013;SP;SÃO BERNARDO DO CAMPO;414;78.660;0,251
Agosto - 2013;SP;SÃO CAETANO DO SUL;166;55.384;0,177
Agosto - 2013;SP;SÃO CAETANO DO SUL;269;65.608;0,209
Agosto - 2013;SP;SÃO CARLOS;121;93.721;0,299
Agosto - 2013;SP;SÃO CARLOS;410;76.651;0,244
Agosto - 2013;SP;SÃO FRANCISCO;232;2.641;0,008
Agosto - 2013;SP;SÃO JOÃO DA BOA VISTA;122;65.724;0,209
Agosto - 2013;SP;SÃO JOÃO DAS DUAS PONTES;233;2.398;0,008
Agosto - 2013;SP;SÃO JOÃO DE IRACEMA;168;1.623;0,005
Agosto - 2013;SP;SÃO JOÃO DO PAU D'ALHO;175;1.860;0,006
Agosto - 2013;SP;SÃO JOAQUIM DA BARRA;123;35.354;0,113
Agosto - 2013;SP;SÃO JOSÉ DA BELA VISTA;240;7.302;0,023
Agosto - 2013;SP;SÃO JOSÉ DO BARREIRO;18;3.537;0,011
Agosto - 2013;SP;SÃO JOSÉ DO RIO PARDO;124;41.015;0,131
Agosto - 2013;SP;SÃO JOSÉ DO RIO PRETO;125;29.013;0,092
Agosto - 2013;SP;SÃO JOSÉ DO RIO PRETO;267;131.649;0,420
Agosto - 2013;SP;SÃO JOSÉ DO RIO PRETO;268;78.540;0,250
Agosto - 2013;SP;SÃO JOSÉ DO RIO PRETO;312;65.389;0,208
Agosto - 2013;SP;SÃO JOSÉ DOS CAMPOS;127;111.188;0,354
Agosto - 2013;SP;SÃO JOSÉ DOS CAMPOS;282;72.981;0,233
Agosto - 2013;SP;SÃO JOSÉ DOS CAMPOS;411;125.998;0,402
Agosto - 2013;SP;SÃO JOSÉ DOS CAMPOS;412;149.859;0,478
Agosto - 2013;SP;SÃO LOURENÇO DA SERRA;201;10.990;0,035
Agosto - 2013;SP;SÃO LUÍS DO PARAITINGA;128;9.616;0,031
Agosto - 2013;SP;SÃO MANUEL;129;30.159;0,096
Agosto - 2013;SP;SÃO MIGUEL ARCANJO;318;24.349;0,078
Agosto - 2013;SP;SÃO PAULO;1;169.543;0,540
Agosto - 2013;SP;SÃO PAULO;2;171.851;0,548
Agosto - 2013;SP;SÃO PAULO;3;82.529;0,263
Agosto - 2013;SP;SÃO PAULO;4;160.132;0,510
Agosto - 2013;SP;SÃO PAULO;5;126.861;0,404
Agosto - 2013;SP;SÃO PAULO;6;155.526;0,496
Agosto - 2013;SP;SÃO PAULO;20;131.563;0,419
Agosto - 2013;SP;SÃO PAULO;246;120.141;0,383
Agosto - 2013;SP;SÃO PAULO;247;113.835;0,363
Agosto - 2013;SP;SÃO PAULO;248;149.970;0,478
Agosto - 2013;SP;SÃO PAULO;249;122.238;0,390
Agosto - 2013;SP;SÃO PAULO;250;163.939;0,522
Agosto - 2013;SP;SÃO PAULO;251;117.248;0,374
Agosto - 2013;SP;SÃO PAULO;252;117.636;0,375
Agosto - 2013;SP;SÃO PAULO;253;217.973;0,695
Agosto - 2013;SP;SÃO PAULO;254;158.926;0,507
Agosto - 2013;SP;SÃO PAULO;255;190.653;0,608
Agosto - 2013;SP;SÃO PAULO;256;171.711;0,547
Agosto - 2013;SP;SÃO PAULO;257;181.232;0,578
Agosto - 2013;SP;SÃO PAULO;258;192.975;0,615
Agosto - 2013;SP;SÃO PAULO;259;149.351;0,476
Agosto - 2013;SP;SÃO PAULO;260;181.049;0,577
Agosto - 2013;SP;SÃO PAULO;280;168.836;0,538
Agosto - 2013;SP;SÃO PAULO;320;181.006;0,577
Agosto - 2013;SP;SÃO PAULO;325;103.525;0,330
Agosto - 2013;SP;SÃO PAULO;326;108.304;0,345
Agosto - 2013;SP;SÃO PAULO;327;115.140;0,367
Agosto - 2013;SP;SÃO PAULO;328;152.687;0,487
Agosto - 2013;SP;SÃO PAULO;346;132.125;0,421
Agosto - 2013;SP;SÃO PAULO;347;167.674;0,534
Agosto - 2013;SP;SÃO PAULO;348;103.593;0,330
Agosto - 2013;SP;SÃO PAULO;349;123.393;0,393
Agosto - 2013;SP;SÃO PAULO;350;133.894;0,427
Agosto - 2013;SP;SÃO PAULO;351;131.153;0,418
Agosto - 2013;SP;SÃO PAULO;352;194.401;0,620
Agosto - 2013;SP;SÃO PAULO;353;156.260;0,498
Agosto - 2013;SP;SÃO PAULO;371;177.144;0,565
Agosto - 2013;SP;SÃO PAULO;372;233.471;0,744
Agosto - 2013;SP;SÃO PAULO;373;129.249;0,412
Agosto - 2013;SP;SÃO PAULO;374;223.276;0,712
Agosto - 2013;SP;SÃO PAULO;375;231.594;0,738
Agosto - 2013;SP;SÃO PAULO;376;225.834;0,720
Agosto - 2013;SP;SÃO PAULO;381;193.215;0,616
Agosto - 2013;SP;SÃO PAULO;389;154.836;0,493
Agosto - 2013;SP;SÃO PAULO;390;112.115;0,357
Agosto - 2013;SP;SÃO PAULO;392;121.359;0,387
Agosto - 2013;SP;SÃO PAULO;397;143.418;0,457
Agosto - 2013;SP;SÃO PAULO;398;97.241;0,310
Agosto - 2013;SP;SÃO PAULO;403;87.692;0,279
Agosto - 2013;SP;SÃO PAULO;404;158.004;0,504
Agosto - 2013;SP;SÃO PAULO;405;97.595;0,311
Agosto - 2013;SP;SÃO PAULO;408;134.236;0,428
Agosto - 2013;SP;SÃO PAULO;413;130.818;0,417
Agosto - 2013;SP;SÃO PAULO;417;111.831;0,356
Agosto - 2013;SP;SÃO PAULO;418;165.744;0,528
Agosto - 2013;SP;SÃO PAULO;420;123.260;0,393
Agosto - 2013;SP;SÃO PAULO;421;130.570;0,416
Agosto - 2013;SP;SÃO PAULO;422;127.614;0,407
Agosto - 2013;SP;SÃO PEDRO;130;24.703;0,079
Agosto - 2013;SP;SÃO PEDRO DO TURVO;114;5.425;0,017
Agosto - 2013;SP;SÃO ROQUE;131;55.671;0,177
Agosto - 2013;SP;SÃO SEBASTIÃO;132;56.066;0,179
Agosto - 2013;SP;SÃO SEBASTIÃO DA GRAMA;366;9.401;0,030
Agosto - 2013;SP;SÃO SIMÃO;133;11.622;0,037
Agosto - 2013;SP;SÃO VICENTE;177;98.417;0,314
Agosto - 2013;SP;SÃO VICENTE;340;152.181;0,485
Agosto - 2013;SP;SARAPUÍ;52;7.027;0,022
Agosto - 2013;SP;SARUTAIÁ;94;3.316;0,011
Agosto - 2013;SP;SEBASTIANÓPOLIS DO SUL;77;2.866;0,009
Agosto - 2013;SP;SERRA AZUL;193;6.762;0,022
Agosto - 2013;SP;SERRA NEGRA;134;21.574;0,069
Agosto - 2013;SP;SERRANA;109;30.030;0,096
Agosto - 2013;SP;SERTÃOZINHO;135;84.711;0,270
Agosto - 2013;SP;SETE BARRAS;172;11.223;0,036
Agosto - 2013;SP;SEVERÍNIA;80;12.235;0,039
Agosto - 2013;SP;SILVEIRAS;145;5.239;0,017
Agosto - 2013;SP;SOCORRO;136;28.575;0,091
Agosto - 2013;SP;SOROCABA;137;53.487;0,170
Agosto - 2013;SP;SOROCABA;271;81.248;0,259
Agosto - 2013;SP;SOROCABA;342;77.762;0,248
Agosto - 2013;SP;SOROCABA;343;72.719;0,232
Agosto - 2013;SP;SOROCABA;356;50.077;0,160
Agosto - 2013;SP;SOROCABA;357;94.720;0,302
Agosto - 2013;SP;SUD MENNUCCI;88;6.288;0,020
Agosto - 2013;SP;SUMARÉ;230;65.252;0,208
Agosto - 2013;SP;SUMARÉ;362;101.191;0,323
Agosto - 2013;SP;SUZANÁPOLIS;88;2.790;0,009
Agosto - 2013;SP;SUZANO;181;105.682;0,337
Agosto - 2013;SP;SUZANO;415;92.328;0,294
Agosto - 2013;SP;TABAPUÃ;179;9.041;0,029
Agosto - 2013;SP;TABATINGA;49;11.657;0,037
Agosto - 2013;SP;TABOÃO DA SERRA;324;86.126;0,274
Agosto - 2013;SP;TABOÃO DA SERRA;416;107.529;0,343
Agosto - 2013;SP;TACIBA;167;5.001;0,016
Agosto - 2013;SP;TAGUAÍ;234;8.197;0,026
Agosto - 2013;SP;TAIAÇU;61;4.765;0,015
Agosto - 2013;SP;TAIÚVA;61;4.793;0,015
Agosto - 2013;SP;TAMBAÚ;198;17.064;0,054
Agosto - 2013;SP;TANABI;138;19.936;0,064
Agosto - 2013;SP;TAPIRAÍ;89;6.512;0,021
Agosto - 2013;SP;TAPIRATIBA;30;10.293;0,033
Agosto - 2013;SP;TAQUARAL;98;2.231;0,007
Agosto - 2013;SP;TAQUARITINGA;139;39.745;0,127
Agosto - 2013;SP;TAQUARITUBA;236;18.292;0,058
Agosto - 2013;SP;TAQUARIVAÍ;53;4.809;0,015
Agosto - 2013;SP;TARABAI;261;5.452;0,017
Agosto - 2013;SP;TARUMÃ;15;10.551;0,034
Agosto - 2013;SP;TATUÍ;140;79.915;0,255
Agosto - 2013;SP;TAUBATÉ;141;88.774;0,283
Agosto - 2013;SP;TAUBATÉ;407;125.667;0,401
Agosto - 2013;SP;TEJUPÁ;94;4.093;0,013
Agosto - 2013;SP;TEODORO SAMPAIO;330;16.397;0,052
Agosto - 2013;SP;TERRA ROXA;203;6.883;0,022
Agosto - 2013;SP;TIETÊ;142;27.661;0,088
Agosto - 2013;SP;TIMBURI;94;2.515;0,008
Agosto - 2013;SP;TORRE DE PEDRA;140;2.618;0,008
Agosto - 2013;SP;TORRINHA;28;7.354;0,023
Agosto - 2013;SP;TRABIJU;107;1.494;0,005
Agosto - 2013;SP;TREMEMBÉ;314;23.935;0,076
Agosto - 2013;SP;TRÊS FRONTEIRAS;187;4.733;0,015
Agosto - 2013;SP;TUIUTI;298;5.053;0,016
Agosto - 2013;SP;TUPÃ;143;50.166;0,160
Agosto - 2013;SP;TUPI PAULISTA;175;10.882;0,035
Agosto - 2013;SP;TURIÚBA;214;1.676;0,005
Agosto - 2013;SP;TURMALINA;233;1.927;0,006
Agosto - 2013;SP;UBARANA;64;4.329;0,014
Agosto - 2013;SP;UBATUBA;144;61.182;0,195
Agosto - 2013;SP;UBIRAJARA;159;3.568;0,011
Agosto - 2013;SP;UCHOA;126;8.016;0,026
Agosto - 2013;SP;UNIÃO PAULISTA;77;1.897;0,006
Agosto - 2013;SP;URÂNIA;152;6.601;0,021
Agosto - 2013;SP;URU;95;1.451;0,005
Agosto - 2013;SP;URUPÊS;207;10.359;0,033
Agosto - 2013;SP;VALENTIM GENTIL;147;8.962;0,029
Agosto - 2013;SP;VALINHOS;34;82.160;0,262
Agosto - 2013;SP;VALPARAÍSO;146;15.580;0,050
Agosto - 2013;SP;VARGEM;298;7.050;0,022
Agosto - 2013;SP;VARGEM GRANDE DO SUL;229;30.009;0,096
Agosto - 2013;SP;VARGEM GRANDE PAULISTA;286;33.396;0,106
Agosto - 2013;SP;VÁRZEA PAULISTA;242;80.657;0,257
Agosto - 2013;SP;VERA CRUZ;180;8.773;0,028
Agosto - 2013;SP;VINHEDO;345;53.858;0,172
Agosto - 2013;SP;VIRADOURO;203;13.800;0,044
Agosto - 2013;SP;VISTA ALEGRE DO ALTO;76;5.160;0,016
Agosto - 2013;SP;VITÓRIA BRASIL;152;1.567;0,005
Agosto - 2013;SP;VOTORANTIM;220;82.662;0,263
Agosto - 2013;SP;VOTUPORANGA;147;66.581;0,212
Agosto - 2013;SP;ZACARIAS;214;2.372;0,008
